Date,N,xRet,sdxRet,rolVol_xRet_bk,rolVol_xRet,vol_EWMA,NBER,log_xRet,X.xRet,X.dp,X.dy,X.ep,X.de,X.svar,X.bm,X.ntis,X.tbl,X.lty,X.ltr,X.tms,X.dfy,X.dfr,X.infl,X.infl_lag
01.Dec.26,1,2.3247,NaN,NaN,NaN,5.58982437,1,2.291746736,2.3247,-2.973012352,-2.95656953,-2.386837291,-0.586175061,0.000464618,0.441475827,0.050876177,3.07,3.54,0.78,0.47,1,-0.22,0,0.568181818
01.Jan.27,2,-0.541,NaN,NaN,NaN,5.22152259,1,-0.541112248,-0.541,-2.942374495,-2.963349047,-2.374773288,-0.567601208,0.000469895,0.443705645,0.050823785,3.23,3.51,0.75,0.28,0.95,-0.19,-1.129943503,0
01.Feb.27,3,4.2922,NaN,NaN,NaN,4.871168054,1,4.191965638,4.2922,-2.979534686,-2.932945854,-2.430352781,-0.549181905,0.000287334,0.428500864,0.051667643,3.29,3.47,0.88,0.18,0.92,-0.19,-0.571428571,-1.129943503
01.Mar.27,4,0.4324,NaN,NaN,NaN,4.727120138,1,0.430180077,0.4324,-2.976535097,-2.970053259,-2.445078688,-0.531456408,0.000924193,0.469765117,0.046356576,3.2,3.31,2.53,0.11,0.92,-1.7,-0.574712644,-0.571428571
01.Apr.27,5,1.0521,NaN,NaN,NaN,4.390738805,1,1.044007536,1.0521,-2.98422499,-2.967142724,-2.471308627,-0.512916363,0.000602589,0.45675413,0.050514024,3.39,3.33,-0.05,-0.06,0.9,0.6,0,-0.574712644
01.May.27,6,5.9353,NaN,NaN,NaN,4.076178233,1,5.749075032,5.9353,-3.025963334,-2.975058259,-2.531445828,-0.494517506,0.000391734,0.434782609,0.05527539,3.33,3.27,1.09,-0.06,0.93,-1.2,0.578034682,0
01.Jun.27,7,-2.297,NaN,NaN,NaN,4.253794223,1,-2.317695548,-2.297,-3.007308841,-3.016742874,-2.531329949,-0.475978892,0.000824577,0.452385249,0.058821916,3.07,3.34,-0.69,0.27,0.97,1.12,1.149425287,0.578034682
01.Jul.27,8,8.145,NaN,NaN,NaN,4.14981019,1,7.807743705,8.145,-3.061144242,-2.998172622,-2.603707368,-0.457436875,0.00042578,0.414553473,0.059749925,2.96,3.33,0.5,0.37,0.95,-0.47,-1.704545455,1.149425287
01.Aug.27,9,3.052,NaN,NaN,NaN,4.808599995,1,2.998083221,3.052,-3.095764479,-3.052225264,-2.656741691,-0.439022789,0.001276414,0.396227409,0.054521772,2.7,3.29,0.76,0.59,0.92,0.07,-0.578034682,-1.704545455
01.Sep.27,10,5.0916,NaN,NaN,NaN,4.507128431,1,4.956062964,5.0916,-3.129096986,-3.086791005,-2.707758528,-0.421338457,0.001123349,0.380586062,0.094612977,2.68,3.3,0.18,0.62,0.88,1.31,0.581395349,-0.578034682
01.Oct.27,11,-4.9304,NaN,NaN,NaN,4.465826767,1,-5.043161036,-4.9304,-3.065649787,-3.120203318,-2.662875402,-0.402774385,0.001559337,0.413800693,0.094366735,3.08,3.25,0.99,0.17,0.87,-0.44,0.578034682,0.581395349
01.Nov.27,12,6.8446,NaN,NaN,NaN,4.709139312,1,6.607100062,6.8446,-3.122543244,-3.056965522,-2.73821796,-0.384325284,0.000929659,0.379395591,0.082267186,3.04,3.2,0.97,0.16,0.86,-0.29,-0.574712644,0.578034682
01.Dec.27,13,1.7095,0.383331228,4.459589705,3.891925603,5.024356642,0,1.691362831,1.7095,-3.132666959,-3.113803868,-2.76694218,-0.365724779,0.000604204,0.37468859,0.076471109,3.17,3.16,0.72,-0.01,0.86,-0.04,0,-0.574712644
01.Jan.28,14,-0.9682,-0.218242923,4.436340874,3.897775456,4.665006367,0,-0.970479491,-0.9682,-3.118894006,-3.124003299,-2.74132392,-0.377570086,0.000860526,0.378669621,0.062601454,3.31,3.21,-0.36,-0.1,0.89,0.63,0,0
01.Feb.28,15,-1.5849,-0.356767244,4.442392134,3.928894074,4.376551637,0,-1.592297064,-1.5849,-3.0926312,-3.110432417,-2.704291342,-0.388339859,0.000691124,0.386076599,0.055172634,3.33,3.18,0.61,-0.15,0.87,0.07,-1.156069364,0
01.Mar.28,16,10.2852,2.397168297,4.290562333,4.031546902,4.137137767,0,9.762984338,10.2852,-3.186980117,-3.084114019,-2.788288955,-0.398691162,0.001381008,0.363254838,0.054363937,3.27,3.17,0.45,-0.1,0.86,-0.04,0,-1.156069364
01.Apr.28,17,3.2525,0.623537672,5.216204486,4.664929081,5.301141501,0,3.193810739,3.2525,-3.210430574,-3.178534866,-2.800831935,-0.409598639,0.00148796,0.368095261,0.049372064,3.62,3.19,-0.04,-0.43,0.87,0.18,0,0
01.May.28,18,0.9125,0.172452113,5.291323974,4.637665062,4.960560086,0,0.905477466,0.9125,-3.214759309,-3.202180527,-2.795243413,-0.419515897,0.001898859,0.354396979,0.047187376,3.9,3.27,-0.77,-0.63,0.93,-0.01,0.584795322,0
01.Jun.28,19,-3.743,-0.746633737,5.013167519,4.562698266,4.602241624,0,-3.802832295,-3.743,-3.165110341,-3.206453305,-2.73525378,-0.429856561,0.003645477,0.370299948,0.050298789,3.92,3.26,0.41,-0.66,0.98,-0.65,-0.581395349,0.584795322
01.Jul.28,20,0.6917,0.136021105,5.085240267,4.716243261,4.580930025,0,0.687127483,0.6917,-3.169301712,-3.156872759,-2.729377407,-0.439924305,0.00167498,0.360648148,0.05938033,4.12,3.44,-2.17,-0.68,0.97,2.07,0,-0.581395349
01.Aug.28,21,6.703,1.485120729,4.513437777,4.359369455,4.252560362,0,6.467868775,6.703,-3.232747346,-3.161252888,-2.783670503,-0.449076843,0.001229317,0.324029782,0.057398906,4.36,3.41,0.76,-0.95,0.97,0.07,0,0
01.Sep.28,22,1.9709,0.407964834,4.831053645,4.582642543,4.539781856,0,1.946524587,1.9709,-3.248317648,-3.224642299,-2.790435379,-0.457882269,0.000650464,0.32816581,0.027980057,4.57,3.46,-0.41,-1.11,0.98,0.71,1.169590643,0
01.Oct.28,23,0.9739,0.210024869,4.637069909,4.48001009,4.221474282,0,0.965249754,0.9739,-3.254679872,-3.240277765,-2.787458885,-0.467220988,0.000678845,0.308930838,0.034019372,4.7,3.36,1.58,-1.34,0.97,-0.75,-0.578034682,1.169590643
01.Nov.28,24,11.9175,2.694934726,4.422185028,3.973821215,3.917104715,0,11.21886155,11.9175,-3.360085479,-3.246822689,-2.884376585,-0.475708893,0.001523296,0.265525939,0.03837201,4.26,3.38,0.03,-0.88,0.97,-0.39,0,-0.578034682
01.Dec.28,25,0.5632,0.107422947,5.242827658,4.708494807,5.540778735,0,0.561284132,0.5632,-3.355050779,-3.352171896,-2.87044835,-0.484602429,0.00407747,0.259666667,0.063068738,4.26,3.4,0.04,-0.86,0.99,0.8,-0.581395349,0
01.Jan.29,26,5.2073,0.997169296,5.222082169,4.741414261,5.156858115,0,5.059477462,5.2073,-3.398869092,-3.343354739,-2.912288506,-0.486580585,0.001700823,0.245346603,0.078448656,4.66,3.49,-0.9,-1.17,1.01,1.33,0,-0.581395349
01.Feb.29,27,-0.8474,-0.156146896,5.426941037,4.655507962,5.074679411,0,-0.847945219,-0.8474,-3.381463718,-3.38730827,-2.892954222,-0.488509495,0.002670117,0.2454239,0.071783137,4.39,3.63,-1.57,-0.76,1,1.87,0,0
01.Mar.29,28,-0.3246,-0.059965074,5.413151015,4.592541601,4.762601484,0,-0.324024492,-0.3246,-3.367687603,-3.370035022,-2.876600972,-0.491086631,0.003611407,0.272300469,0.079804566,4.6,3.77,-1.44,-0.83,1.09,0.57,-0.584795322,0
01.Apr.29,29,1.5959,0.352513699,4.527199954,4.089246496,4.430640888,0,1.577664535,1.5959,-3.372319995,-3.356388048,-2.879406652,-0.492913343,0.002304361,0.263396912,0.099322633,4.8,3.58,2.75,-1.22,1.11,-2.56,-0.588235294,-0.584795322
01.May.29,30,-4.5681,-1.025925125,4.452664125,4.081132537,4.127489737,0,-4.654760889,-4.5681,-3.317413115,-3.361146695,-2.822716873,-0.494696242,0.004759808,0.282774621,0.117986668,5.09,3.73,-1.62,-1.36,1.1,2.07,0.591715976,-0.588235294
01.Jun.29,31,10.7094,2.309874699,4.636355385,4.514087592,4.315324582,0,10.12380227,10.7094,-3.412850827,-3.306363279,-2.916413941,-0.496436886,0.00134038,0.253580582,0.11619736,4.8,3.67,1.1,-1.13,1.17,-1.56,0.588235294,0.591715976
01.Jul.29,32,4.6714,0.854503707,5.46679899,4.8515176,5.597273945,0,4.550893046,4.6714,-3.446530923,-3.401921757,-2.948394159,-0.498136764,0.001281813,0.24187518,0.11068794,4.55,3.69,0,-0.86,1.18,0.2,1.169590643,0.588235294
01.Aug.29,33,9.0871,1.614874818,5.627123477,4.824072088,5.321476885,1,8.664452684,9.0871,-3.529202781,-3.435720007,-3.029405489,-0.499797293,0.003382102,0.221123761,0.115277315,4.7,3.75,-0.34,-0.95,1.25,0.54,0,1.169590643
01.Sep.29,34,-5.4441,-0.922839944,5.899289511,5.025690001,5.780336656,1,-5.577820085,-5.4441,-3.468391947,-3.518507492,-2.966972121,-0.501419825,0.003392282,0.244868249,0.121390118,4.58,3.75,0.27,-0.83,1.32,0.07,0,0
01.Oct.29,35,-19.075,-3.138126605,6.078467316,5.63770177,5.942327095,1,-21.05686575,-19.075,-3.235577674,-3.457809838,-2.731935686,-0.503641988,0.053507543,0.307484187,0.159611836,4.37,3.47,3.82,-0.9,1.34,-3.09,0,0
